,Timestamp,Fecal Coliform (MF),24hr Rainfall (in)
0,06-20-2016,16.0,0.03
1,07-12-2016,52.0,0.0
2,08-15-2016,128.0,0.0
3,09-08-2016,105.0,0.01
4,10-18-2016,90.0,0.11
5,11-07-2016,85.0,0.23
6,12-12-2016,4.0,0.0
7,01-23-2017,2.0,0.0
8,02-23-2017,2.0,0.01
9,03-14-2017,55.0,1.27
10,04-03-2017,2.0,0.0
11,05-15-2017,40.0,0.44
12,06-15-2017,1600.0,1.06
13,06-20-2017,58.0,0.0
14,07-13-2017,40.0,0.0
15,08-21-2017,44.0,0.0
16,09-27-2017,35.0,0.0
17,10-25-2017,284.0,0.0
18,11-01-2017,64.0,0.0
19,12-26-2017,12.0,0.0
20,01-16-2018,4.0,0.03
21,02-12-2018,4.0,0.0
22,03-06-2018,4.0,0.0
23,04-17-2018,12.0,0.01
24,05-07-2018,16.0,0.0
25,06-13-2018,276.0,0.04
26,07-09-2018,300.0,0.0
27,08-13-2018,308.0,0.0
28,09-06-2018,352.0,0.0
29,09-20-2018,32.0,0.0
30,10-11-2018,70.0,0.0
31,11-14-2018,16.0,0.06
32,12-04-2018,2.0,0.0
33,12-04-2018,14.0,0.0
34,01-15-2019,6.0,0.0
35,02-26-2019,4.0,0.0
36,02-26-2019,2.0,0.0
37,03-20-2019,30.0,0.0
38,04-09-2019,20.0,0.08
39,05-30-2019,74.0,0.0
